architecture,scenario,metric,mean_mib,min_mib,max_mib,std_mib,ci95_low,ci95_high
monolith,extended,heap_used,42.07,0.0,150.0,39.62,41.01,43.12
monolith,extended,heap_committed,85.33,1.0,160.0,64.71,83.61,87.06
monolith,extended,nonheap_used,27.64,1.51,76.01,26.25,27.1,28.19
monolith,extended,metaspace,75.86,75.61,76.01,0.1,75.86,75.87
monolith,extended,code_cache,52.69,50.33,54.55,1.04,52.64,52.74
monolith,extended,container_rss,801.06,756.4,825.72,9.51,800.62,801.5
monolith,extended,container_total,1871.74,1568.89,2045.04,111.45,1866.6,1876.89
monolith,extended,gc_count,144.34,0.0,353.88,146.95,139.54,149.13
