architecture,scenario,metric,mean_mib,min_mib,max_mib,std_mib,ci95_low,ci95_high
monolith,rampup,heap_used,43.08,0.0,151.0,40.35,41.56,44.6
monolith,rampup,heap_committed,85.33,1.0,160.0,64.37,82.91,87.76
monolith,rampup,nonheap_used,26.74,1.49,75.21,25.95,25.98,27.5
monolith,rampup,metaspace,75.03,67.66,75.21,0.35,75.01,75.05
monolith,rampup,code_cache,49.06,20.06,50.88,2.29,48.91,49.21
monolith,rampup,container_rss,2665.22,2494.73,2739.06,38.15,2662.73,2667.71
monolith,rampup,container_total,4394.43,4173.27,4480.82,59.61,4390.54,4398.32
monolith,rampup,gc_count,381.46,0.0,1155.27,407.54,362.65,400.26
